player,year,draft_pick,height,wingspan,vertical,weight,agility,sprint
James Ennis,2013,50.0,79.0,83.5,36.5,201.0,11.55,3.4
Lorenzo Brown,2013,52.0,77.25,79.0,34.0,189.0,11.78,3.4
Colton Iverson,2013,53.0,84.0,86.0,35.13666666666666,263.0,11.33024774774775,3.299663677130045
Peyton Siva,2013,56.0,73.0,75.0,41.5,181.0,10.59,3.16
Deshaun Thomas,2013,58.0,79.0,82.0,32.0,220.0,12.94,3.53
Nerlens Noel,2013,6.0,83.75,87.75,35.13666666666666,206.0,11.33024774774775,3.299663677130045
Ben McLemore,2013,7.0,76.75,79.75,42.0,189.0,11.87,3.27
Kentavious Caldwell-Pope,2013,8.0,77.5,80.0,34.5,204.0,10.6,3.12
Trey Burke,2013,9.0,73.25,77.5,36.5,187.0,11.2,3.16
Elfrid Payton,2014,10.0,75.75,80.0,35.5,185.0,11.06,3.23
Doug McDermott,2014,11.0,79.75,81.25,36.5,218.0,11.1,3.29
Zach LaVine,2014,13.0,77.75,80.25,41.5,181.0,10.42,3.19
T.J. Warren,2014,14.0,80.25,82.25,35.5,220.0,11.1,3.26
Adreian Payne,2014,15.0,81.75,88.0,35.13666666666666,239.0,11.33024774774775,3.299663677130045
James Young,2014,17.0,78.75,84.0,35.5,213.0,11.33024774774775,3.299663677130045
Tyler Ennis,2014,18.0,74.5,79.25,36.0,182.0,11.12,3.3
Gary Harris,2014,19.0,76.5,78.75,35.13666666666666,205.0,11.33024774774775,3.299663677130045
Jordan Adams,2014,22.0,76.75,82.0,29.5,209.0,12.13,3.5
Rodney Hood,2014,23.0,80.5,80.5,36.0,208.0,11.21,3.38
Shabazz Napier,2014,24.0,73.0,75.25,37.5,175.0,11.6,3.2
P.J. Hairston,2014,26.0,77.25,81.0,37.0,229.0,11.12,3.32
C.J. Wilcox,2014,28.0,77.0,81.75,37.5,201.0,11.3,3.22
Kyle Anderson,2014,30.0,80.5,86.75,35.13666666666666,230.0,11.33024774774775,3.299663677130045
K.J. McDaniels,2014,32.0,78.0,83.25,37.0,196.0,12.71,3.1
Joe Harris,2014,33.0,78.25,78.0,33.5,215.0,11.11,3.31
Cleanthony Early,2014,34.0,79.25,82.75,40.0,209.0,11.15,3.18
Jarnell Stokes,2014,35.0,80.5,85.25,36.0,263.0,11.92,3.26
Johnny O'Bryant,2014,36.0,80.5,86.25,35.5,257.0,11.57,3.45
DeAndre Daniels,2014,37.0,80.5,86.0,32.0,196.0,11.46,3.44
Spencer Dinwiddie,2014,38.0,78.0,80.25,35.13666666666666,205.0,11.33024774774775,3.299663677130045
Jerami Grant,2014,39.0,79.75,86.75,35.13666666666666,214.0,11.33024774774775,3.299663677130045
Aaron Gordon,2014,4.0,80.75,83.75,39.0,220.0,10.81,3.27
Glenn Robinson,2014,40.0,78.75,82.0,41.5,211.0,11.22,3.15
Nick Johnson,2014,42.0,75.0,79.25,41.5,198.0,10.8,3.27
Markel Brown,2014,44.0,75.5,80.75,43.5,184.0,12.62,3.18
Dwight Powell,2014,45.0,83.0,84.5,35.0,234.0,11.28,3.2
Jordan Clarkson,2014,46.0,77.0,80.0,38.5,186.0,10.76,3.28
Russ Smith,2014,47.0,72.75,75.5,34.0,160.0,11.57,3.27
Lamar Patterson,2014,48.0,77.25,83.0,32.5,226.0,11.63,3.45
Cameron Bairstow,2014,49.0,81.75,84.75,33.5,252.0,11.39,3.37
Dante Exum,2014,5.0,78.0,81.5,34.5,196.0,10.75,3.19
Alec Brown,2014,50.0,85.25,85.5,30.0,231.0,12.05,3.48
Thanasis Antetokounmpo,2014,51.0,78.25,84.0,39.5,205.0,11.39,3.18
Semaj Christon,2014,55.0,75.25,78.5,36.5,186.0,11.55,3.32
Devyn Marble,2014,56.0,78.5,81.0,35.0,192.0,11.32,3.28
Jordan McRae,2014,58.0,77.25,84.5,34.5,179.0,11.07,3.39
Xavier Thames,2014,59.0,75.5,76.0,32.5,187.0,11.48,3.48
Marcus Smart,2014,6.0,75.25,81.25,36.0,227.0,10.82,3.26
Cory Jefferson,2014,60.0,81.0,84.5,37.5,218.0,12.63,3.36
Julius Randle,2014,7.0,81.0,84.0,35.5,250.0,11.45,3.27
Nik Stauskas,2014,8.0,78.5,79.75,35.5,207.0,10.79,3.27
Noah Vonleh,2014,9.0,81.5,88.25,37.0,247.0,11.45,3.28
Justise Winslow,2015,10.0,78.5,82.25,35.13666666666666,222.0,11.33024774774775,3.299663677130045
Myles Turner,2015,11.0,83.5,88.0,35.13666666666666,239.0,11.33024774774775,3.299663677130045
Trey Lyles,2015,12.0,82.25,85.5,35.13666666666666,241.0,11.33024774774775,3.299663677130045
Devin Booker,2015,13.0,77.75,80.25,34.5,206.0,10.22,3.28
Cameron Payne,2015,14.0,73.5,79.25,35.5,183.0,10.89,3.28
Kelly Oubre,2015,15.0,78.75,86.25,37.0,203.0,11.1,3.32
Terry Rozier,2015,16.0,74.25,80.25,38.0,190.0,10.88,3.15
Rashad Vaughn,2015,17.0,77.0,79.0,34.0,199.0,11.41,3.21
Sam Dekker,2015,18.0,81.0,83.5,34.5,219.0,10.71,3.28
Jerian Grant,2015,19.0,76.25,79.5,35.13666666666666,198.0,11.33024774774775,3.299663677130045
D'Angelo Russell,2015,2.0,77.0,81.75,35.13666666666666,193.0,11.33024774774775,3.299663677130045
Delon Wright,2015,20.0,77.5,79.5,31.0,181.0,11.21,3.29
Justin Anderson,2015,21.0,78.25,83.75,43.0,231.0,11.1,3.22
Bobby Portis,2015,22.0,82.5,86.0,31.5,246.0,11.71,3.56
Rondae Hollis-Jefferson,2015,23.0,79.0,86.0,38.0,211.0,10.51,3.12
Tyus Jones,2015,24.0,74.0,77.0,32.5,185.0,11.89,3.32
Jarell Martin,2015,25.0,81.25,81.75,34.5,239.0,11.12,3.27
Larry Nance,2015,27.0,80.5,85.5,37.5,227.0,10.89,3.25
R.J. Hunter,2015,28.0,78.0,82.5,33.5,185.0,10.97,3.26
Chris McCullough,2015,29.0,81.0,87.25,35.13666666666666,199.0,11.33024774774775,3.299663677130045
